airline_origin,min_taxi,max_taxi,avg_taxi
HP-PHL,0.0,261.0,31.100286
HP-RNO,0.0,138.0,16.059961
HP-SFO,0.0,168.0,19.261002
HP-SJC,0.0,201.0,18.639442
HP-SMF,0.0,104.0,15.735068
HP-STL,0.0,120.0,22.483858
HP-TPA,0.0,150.0,23.565907
HP-TUS,0.0,100.0,17.450922
MQ-ABQ,0.0,562.0,25.907438
MQ-ACT,0.0,234.0,20.848778
MQ-BGR,0.0,1037.0,17.435965
MQ-BOS,0.0,943.0,23.601292
MQ-BPT,0.0,41.0,20.111979
MQ-BTR,0.0,935.0,19.540083
MQ-BUF,0.0,986.0,25.096207
MQ-BWI,0.0,1029.0,20.476166
MQ-CAE,0.0,524.0,22.276667
MQ-CHA,0.0,979.0,20.673506
MQ-CLE,0.0,1018.0,26.12709
MQ-CLL,0.0,128.0,20.565382
MQ-CLT,0.0,929.0,29.969503
MQ-CMH,0.0,1090.0,23.418224
MQ-CMI,0.0,891.0,21.029285
MQ-COS,0.0,209.0,24.620014
MQ-CWA,7.0,133.0,21.16639
MQ-DAL,0.0,162.0,17.50175
MQ-DAY,0.0,985.0,25.085836
MQ-DBQ,0.0,668.0,19.187983
MQ-DCA,0.0,1302.0,22.426844
MQ-DFW,0.0,1448.0,21.62513
MQ-DLH,0.0,96.0,18.83311
MQ-ELP,10.0,49.0,21.74
MQ-EWR,0.0,845.0,25.288877
MQ-EYW,0.0,98.0,19.537897
MQ-FAT,0.0,1064.0,17.654335
MQ-FNT,0.0,220.0,24.05068
MQ-FSD,0.0,1004.0,26.700386
MQ-FSM,0.0,935.0,19.484858
MQ-GGG,0.0,995.0,20.77675
MQ-GJT,7.0,176.0,21.469595
MQ-GPT,0.0,243.0,20.737827
MQ-GRB,0.0,516.0,17.930357
MQ-GRR,0.0,1088.0,23.915024
MQ-GSO,0.0,1010.0,25.496935
MQ-GSP,0.0,1031.0,22.983582
MQ-HPN,0.0,931.0,26.947697
MQ-IAD,0.0,848.0,25.96044
MQ-ICT,0.0,918.0,21.327248
MQ-ILE,0.0,1044.0,22.159672
MQ-IND,0.0,927.0,23.93546
MQ-JAN,0.0,954.0,20.279203
MQ-JAX,0.0,324.0,20.84168
MQ-JFK,0.0,648.0,29.642805
MQ-LAS,0.0,109.0,26.441702
MQ-LBB,0.0,990.0,18.590755
MQ-LEX,0.0,228.0,22.762083
MQ-LFT,0.0,131.0,22.813484
MQ-LGA,0.0,1462.0,30.76229
MQ-LSE,0.0,703.0,20.800688
MQ-MAF,0.0,660.0,18.134659
MQ-MAZ,9.0,32.0,18.133333
MQ-MCI,0.0,128.0,15.739716
MQ-MDW,0.0,460.0,26.25067
MQ-MKE,0.0,1002.0,23.881304
MQ-MOB,0.0,299.0,18.885578
MQ-MQT,0.0,984.0,17.494825
MQ-MSN,0.0,1328.0,22.34328
MQ-MSY,11.0,88.0,26.037037
MQ-OAK,0.0,927.0,21.117432
MQ-OMA,0.0,983.0,24.325823
MQ-ORF,0.0,913.0,21.585215
MQ-PHL,0.0,943.0,24.764896
MQ-PHX,0.0,996.0,19.587301
MQ-PIA,0.0,265.0,19.823841
MQ-PIT,0.0,974.0,23.802168
MQ-PVD,0.0,966.0,22.546507
MQ-PWM,0.0,992.0,19.898314
MQ-RIC,0.0,1013.0,22.663704
MQ-ROC,0.0,917.0,25.113316
MQ-ROW,0.0,132.0,16.688345
